"Date","Price"
31-05-2019,4.303
30-05-2019,4.331
29-05-2019,4.336
25-05-2019,4.318
24-05-2019,4.335
23-05-2019,4.408
22-05-2019,4.453
21-05-2019,4.466
18-05-2019,4.458
17-05-2019,4.443
16-05-2019,4.433
15-05-2019,4.423
14-05-2019,4.421
11-05-2019,4.414
10-05-2019,4.408
09-05-2019,4.418
08-05-2019,4.410
03-05-2019,4.427
01-05-2019,4.442
30-04-2019,4.442
27-04-2019,4.447
26-04-2019,4.465
25-04-2019,4.442
24-04-2019,4.426
19-04-2019,4.403
18-04-2019,4.396
17-04-2019,4.389
16-04-2019,4.389
13-04-2019,4.394
12-04-2019,4.395
11-04-2019,4.385
10-04-2019,4.368
09-04-2019,4.357
06-04-2019,4.333
05-04-2019,4.326
04-04-2019,4.317
03-04-2019,4.317
02-04-2019,4.309
30-03-2019,4.305
29-03-2019,4.294
28-03-2019,4.294
27-03-2019,4.288
26-03-2019,4.278
23-03-2019,4.274
22-03-2019,4.285
21-03-2019,4.292
20-03-2019,4.265
19-03-2019,4.258
16-03-2019,4.265
15-03-2019,4.270
14-03-2019,4.276
13-03-2019,4.283
12-03-2019,4.288
09-03-2019,4.291
08-03-2019,4.298
07-03-2019,4.302
06-03-2019,4.293
05-03-2019,4.294
02-03-2019,4.292
01-03-2019,4.303
28-02-2019,4.302
27-02-2019,4.300
26-02-2019,4.279
23-02-2019,4.311
22-02-2019,4.306
21-02-2019,4.300
20-02-2019,4.298
19-02-2019,4.314
16-02-2019,4.285
15-02-2019,4.255
14-02-2019,4.230
13-02-2019,4.212
12-02-2019,4.194
09-02-2019,4.183
08-02-2019,4.173
07-02-2019,4.163
06-02-2019,4.158
05-02-2019,4.159
02-02-2019,4.155
01-02-2019,4.131
31-01-2019,4.130
30-01-2019,4.126
29-01-2019,4.129
26-01-2019,4.139
25-01-2019,4.143
24-01-2019,4.150
23-01-2019,4.145
22-01-2019,4.146
19-01-2019,4.132
18-01-2019,4.124
17-01-2019,4.123
16-01-2019,4.123
15-01-2019,4.123
12-01-2019,4.102
11-01-2019,4.083
10-01-2019,4.065
09-01-2019,4.035
08-01-2019,4.011
05-01-2019,3.989
04-01-2019,3.947
03-01-2019,3.939
01-01-2019,3.929
29-12-2018,3.924
28-12-2018,3.970
22-12-2018,3.986
21-12-2018,4.050
20-12-2018,4.093
19-12-2018,4.110
18-12-2018,4.128
15-12-2018,4.134
14-12-2018,4.136
13-12-2018,4.151
12-12-2018,4.150
11-12-2018,4.167
08-12-2018,4.180
07-12-2018,4.160
06-12-2018,4.184
05-12-2018,4.146
04-12-2018,4.115
01-12-2018,4.108
30-11-2018,4.140
29-11-2018,4.177
28-11-2018,4.180
27-11-2018,4.216
24-11-2018,4.208
23-11-2018,4.252
22-11-2018,4.291
